	strain	date	accession	authors	institution	focus_areas
173	MPXV/PT0681/2023	2023-08-08	OR487999	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
174	OZ194727	2022-XX-XX	OZ194727	Gonzalez et al.	GENGS-CBMSO, Biocomputational Analysis Core Facility . Centro de Biologia Molecular Severo Ochoa . Universidad Autonoma de Madrid. 28049 Madrid	Global
175	NY-NYCPHL-000579	2022-07-XX	OQ419042	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
176	MPXV22/human/USA-NE-166	2022-08-15	OR350452	Tegomoh et al.	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health	North America
177	MPXV_USA_2022_MA0016	2022-XX-XX	OP890374	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
178	NY-NYCPHL-000255	2022-08-XX	OQ469062	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
179	MPXV_USA_2022_PA0002	2022-09-XX	OQ702770	Gigante et al.	CDC, DHCPP-PRB	North America
180	NJ-MPXV-003-rpt1	2022-07-25	OP879724	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
181	NY-NYCPHL-001187	2023-01-XX	OQ419087	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
182	MPXV/Germany/2025/ON/RKI1209	2025-01-XX	PV008698	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
183	MPXV/Germany/2022/ON/RKI980	2022-06-XX	OR449694	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
184	MPXV_USA_2022_MA0123	2022-XX-XX	OP890476	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
185	MPXV_USA_2023_TN0022	2023-12-XX	PQ686943	Gigante et al.	CDC, DHCPP-PRB	North America
186	MPXV/Human/USA/UT-UPHL-82200067/2022	2022-07-11	OR004144	Iverson et al.	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	North America
187	MN-MDH-MPXV_0069	2022-09-02	OR353579	Plumb et al.	Minnesota Department of Health, Public Health Laboratory	North America
188	NY-NYCPHL-001170	2022-08-XX	OQ469308	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
189	NY-NYCPHL-000513	2022-07-XX	OQ468895	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
190	ANT-LDSP-ANT-MPX-23266	2022-08-23	OP477457	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
191	MPXV_USA_2022_NM0002	2022-07-XX	OP752109	Gigante et al.	CDC, DHCPP-PRB	North America
