	strain	date	accession	authors	institution	focus_areas
231	MPX/PT0081/2022	2022-07-23	OP245334	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
232	MPXV_USA_2022_TX0184	2022-10-XX	PQ340487	Gigante et al.	CDC, DHCPP-PRB	North America
233	hMpxV/USA/CA-CDPH-11000314/2022	2022-08-05	PQ336097	Kath et al.	CDPH, VRDL	Other California
234	MPXV/UZ_REGA_66	2022-06-29	OR035672	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
235	hMpxV/USA/IL-RIPHL-050-0184/2024	2024-06-17	PQ195827	Barbian et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
236	MPXV/Germany/2022/RKI263	2022-08-XX	OP215282	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
237	MPXV/Germany/2022/ON/RKI629	2022-09-XX	OP894049	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
238	hMpxV/USA/CA-CDPH-1M1000641/2024	2024-07-05	PQ159992	Kath et al.	CDPH, VRDL	Other California
239	hMpxV/USA/CA-CDPH-000051/2022	2022-07-21	OP863226	Haw et al.	CDPH, VRDL	Other California
240	MPXV/Germany/2022/RKI561	2022-06-XX	OP764619	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
241	NY-NYCPHL-000884	2022-07-XX	OQ565492	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
242	MpxV/human/USA/WA-UW-087336/2022	2022-08-XX	OP392550	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
243	Z22IRL00608	2022-09-07	OR146348	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
244	MPXV_USA_2022_PA0003	2022-08-XX	OR464205	Gigante et al.	CDC, DHCPP-PRB	North America
245	MPXV/Human/USA/CA-LACPHL-MA00292/2022	2022-10-07	OP890550	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
246	NY-NYCPHL-000035	2022-07-XX	OQ469122	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
247	MpxV/human/USA/Unknown-UW-102378/2022	2022-10-XX	OP743998	Sereewit et al.	UW Virology, Laboratory Medicine	North America
248	Monkeypox/PT0266/2022	2022-06-15	OP414306	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
249	MPXV_USA_2022_NY0009	2022-07-XX	OQ557948	Gigante et al.	CDC, DHCPP-PRB	New York City
250	MPXV/PT0632/2023	2023-06-25	OR326996	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
251	hMpxV/Canada/ON-PHOL083/2022	2022-08-01	OR759171	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
252	MPXV_USA_2022_LA0001	2022-07-XX	OP451005	Gigante et al.	CDC, DHCPP-PRB	North America
253	MPXV/Germany/2022/RKI429	2022-09-XX	OP594193	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
254	hMpxV/Canada/ON-PHOL110/2022	2022-07-01	OR759198	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
255	MPXV/UZ_REGA_114	2022-10-28	OR035720	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
256	MPXV_USA_2022_TX0051	2022-09-XX	OQ721942	Gigante et al.	CDC, DHCPP-PRB	North America
257	MPX/Human/USA/CA-LACPHL-MA00255/2022	2022-07-13	OP722514	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
258	hMpxV/USA/IL-RIPHL-050-0189/2024	2024-08-05	PQ374432	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
259	MPXV-USA-IL-IDPH-041	2022-06-21	OP536702	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
260	MPXV/Germany/2022/RKI182	2022-07-XX	OP018605	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
261	MPXV_USA_2022_WA0016	2022-09-XX	OQ320509	Gigante et al.	CDC, DHCPP-PRB	North America
262	NY-NYCPHL-000242	2022-06-XX	OQ469178	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
263	MPXV/Germany/2022/RKI058	2022-06-XX	ON813255	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
264	NY-NYCPHL-000361	2022-08-XX	OQ468488	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
265	MPX_BhVKjm_9000233	2022-07-XX	OP415207	Groves et al.	UKHSA, Research and Evaluation	Global
266	MPXV_USA_2022_SC0002	2022-07-XX	OP450998	Gigante et al.	CDC, DHCPP-PRB	North America
267	MPXV/Human/USA/CA-CDPH-MPX000028/2022	2022-07-11	OP587256	Probert et al.	CDPH, VRDL	Other California
268	Z22IRL00100	2022-06-14	OR146310	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
269	B1118431	2022-09-27	OP935994	Bajwa et al.	Delaware Public Health Lab, Sequencing/Bioinformatics	North America
270	MPXV22/human/USA-NE-176	2022-08-15	OP431827	Tegomoh et al.	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health	North America
271	Z22IRL00206	2022-07-01	OR146317	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
272	MpxV/human/USA/WA-UW-080100/2022	2022-08-XX	OP392535	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
273	MPXV/Germany/2022/ON/RKI671	2022-05-XX	OQ274890	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
274	MPXV/Human/USA/CA-LACPHL-MA00540/2023	2023-07-01	OR499996	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
275	MPXV/Germany/2022/ON/RKI599	2022-08-XX	OP863249	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
276	Monkeypox/PT0043/2022	2022-05-30	ON843175	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
277	NY-NYCPHL-000299	2022-08-XX	OQ468474	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
278	MPXV/Germany/2022/RKI012	2022-05-XX	ON694341	Brinkmann et al.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany	Global
279	Monkeypox/PT0195/2022	2022-06-28	OP324508	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
280	LC852825	2023-02-27	LC852825	?	Shinjuku, Tokyo 162-8640	Global
281	MPXV/Germany/2022/RKI152	2022-07-XX	ON959166	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
282	MN-MDH-MPXV_0047	2022-08-24	OR353557	Plumb et al.	Minnesota Department of Health, Public Health Laboratory	North America
283	MPXV/Germany/2024/ON/RKI1203	2024-12-XX	PV008692	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
284	case1_air	2022-09-01	OQ973326	Raymenants et al.	Institute of Tropica Medicine, Department of Clinical Sciences	Global
285	NY-NYCPHL-000134	2022-06-XX	OQ504401	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
286	NY-NYCPHL-000068	2022-06-XX	OQ504389	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
287	hMpxV/USA/CA-CDPH-1MPX1000200/2023	2022-06-29	OQ603469	Haw et al.	CDPH, VRDL	Other California
288	hMpxV/USA/CA-CDPH-1000085/2022	2022-07-06	OQ121039	Probert et al.	CDPH, VRDL	Other California
289	MPXV/Germany/2022/ON/RKI723	2022-05-XX	OQ547750	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
290	MPXV/Germany/2022/ON/RKI733	2022-07-XX	OQ547760	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
291	hMpxV/USA/CA-CDPH-1MPX1000151/2022	2022-07-08	OQ348898	Probert et al.	CDPH, VRDL	Other California
292	NY-NYCPHL-001063	2022-07-XX	OQ469248	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
293	MPXV_453_SP_2022	2022-XX-XX	OX044344	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
294	hMPX/Human/USA/CA-LACPHL-MA00045/2022	2022-07-22	OP440546	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
295	Z22IRL00144	2022-06-20	OR146303	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
296	NY-NYCPHL-000976	2022-07-XX	OQ468703	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
297	NY-NYCPHL-000997	2022-07-XX	OQ468549	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
298	MPXV_USA_2022_WA0027	2022-07-XX	PQ686957	Gigante et al.	CDC, DHCPP-PRB	North America
299	VSP201	2023-02-21	PP852959	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
300	MpxV/human/CAN/UN-NML-2833/2022	2022-05-13	ON880519	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
301	MPXV_USA_2022_IL003	2022-06-XX	ON959132	Gigante et al.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology	North America
302	MpxV/human/USA/WA-UW-042823/2023	2023-04-XX	OQ979621	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
303	NY-NYCPHL-000624	2022-09-XX	OQ468720	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
304	MPXV/Germany/2022/RKI088	2022-06-XX	ON853655	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
305	NY-NYCPHL-001316	2024-04-XX	PP751808	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
306	MPXV_USA_2022_TX0027	2022-09-XX	OQ054240	Gigante et al.	CDC, DHCPP-PRB	North America
307	MPXV-USA-IL-IDPH-034	2022-06-16	OP536695	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
308	hMPX/Human/USA/CA-LACPHL-MA00043/2022	2022-07-28	OP440536	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
309	MPXV/Germany/2022/RKI08	2022-05-XX	ON682268	Brinkmann et al.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany	Global
310	NY-NYCPHL-000528	2022-07-XX	OQ419031	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
311	NY-NYCPHL-000378	2022-08-XX	OQ468970	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
312	MPXV/Germany/2022/ON/RKI596	2022-08-XX	OP863246	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
313	Monkeypox virus/Human/USA/CA-LACPHL-MA00701/2024	2024-09-25	PQ479554	Fox et al.	Los Angeles County Department of Public Health, Los Angeles County Public Health Laboratories	Los Angeles County
314	MPXV_USA_2022_CA0030	2022-09-XX	OQ054245	Gigante et al.	CDC, DHCPP-PRB	North America
315	hMpxV/USA/CACDPH1MPX1000178/2022	2023-01-10	OQ547885	Probert et al.	CDPH, VRDL	Other California
316	MPX/Human/USA/CA-LACPHL-MA00103/2022	2022-08-17	OP539888	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
317	Monkeypox/PT0290/2022	2022-06-14	OP414325	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
318	hMPX/Human/USA/CA-LACPHL-MA00067/2022	2022-08-17	OP442543	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
319	NY-NYCPHL-000360	2022-08-XX	OQ469089	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
320	MPXV/Human/USA/CA-LACPHL-MA00423/2022	2022-12-02	OQ503816	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
321	MPXV/Human/USA/CA-LACPHL-MA00538/2023	2023-07-21	OR499994	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
322	hMpxV/USA/CA-CDPH-1MPX1000265/2022	2022-06-29	PQ781676	Kath et al.	CDPH, VRDL	Other California
323	hMpxV/USA/IL-RIPHL-050-0207/2024	2024-09-16	PQ463265	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
324	ANT-LDSP-ANT-MPX-22607-L	2022-08-16	OP431397	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
325	Z22IRL00909	2023-08-31	OR601605	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
326	TRM342	2022-10-14	PP853036	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
327	MPXV/Germany/2022/ON/RKI688	2022-08-XX	OQ339207	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
328	MPXV/Germany/2023/ON/RKI1030	2023-10-XX	OR743499	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
329	MPXV/UZ_REGA_60	2022-06-15	OR035666	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
